RMSD_active,RMSD_inactive
1.641848921775817871e+00,1.521865725517272949e+00
1.633589744567871094e+00,1.524017810821533203e+00
1.627055287361145020e+00,1.516240596771240234e+00
1.627960681915283203e+00,1.512992262840270996e+00
1.627325296401977539e+00,1.523346781730651855e+00
1.661371111869812012e+00,1.553138494491577148e+00
1.649659752845764160e+00,1.535862684249877930e+00
1.626586437225341797e+00,1.507483482360839844e+00
1.635617256164550781e+00,1.516813039779663086e+00
1.622302532196044922e+00,1.509592056274414062e+00
1.665198326110839844e+00,1.544912457466125488e+00
1.640923857688903809e+00,1.528297901153564453e+00
1.633471608161926270e+00,1.502293825149536133e+00
1.639779925346374512e+00,1.526103377342224121e+00
1.645083189010620117e+00,1.528984546661376953e+00
1.627034783363342285e+00,1.510018467903137207e+00
1.607641458511352539e+00,1.495955228805541992e+00
